scenario,seed,flag_1,mean_z_1,flag_2,mean_z_2,flag_3,mean_z_3,flag_4,mean_z_4,flag_5,mean_z_5,single_flag_any
noise,8,False,-0.301200484717459,False,-0.8864707755588473,True,-1.5182283249177029,True,-1.1303478968936242,True,-0.6954410694942756,True
noise,9,False,0.631197356031201,False,-0.6521249886921588,False,-0.11732014001862501,False,-0.17929726590302358,False,-0.0750988812302737,False
noise,10,False,-1.598500663467309,True,-1.8755821052069717,False,-1.3680457861458402,False,-1.0420241451699095,False,-0.6718753872563501,True
noise,11,False,0.7114367312309534,False,0.4373787100557684,False,0.17637085263182994,False,0.05577993981179012,False,0.02686059214692832,False
noise,12,False,1.3793126900603023,True,1.7064808466471049,False,1.5706619278503393,False,0.8732250537291186,True,0.42584031435458963,True
noise,13,True,-3.97338528122342,True,-2.2405383995777286,True,-1.4117798302534128,True,-0.9377750071759539,True,-0.7771735137577651,True
noise,14,False,0.2058525770984767,False,-0.8547477385348288,False,-0.6847678552361888,False,-0.2210389092885076,False,-0.10390399932508813,False
stingy,0,False,-1.6970358760251603,True,-1.9264186662471259,True,-2.0360932778960024,True,-1.528869248286948,True,-1.0911479104578057,True
stingy,1,False,-0.6365710647596131,True,-1.509693435306962,False,-1.3447291537686443,False,-0.9807637296019838,False,-0.7108970369210154,True
stingy,2,True,-1.9995928024042184,True,-2.5546155068688137,True,-1.7906219508083805,True,-1.1443383641121627,True,-0.8136311892089683,True
stingy,3,True,-3.917318551179421,True,-3.0072782301894465,True,-2.651386106659417,True,-2.1267594761617516,True,-1.7896221212735153,True
stingy,4,False,-1.5545823184796101,False,-1.2061787229348622,True,-1.8291452136520023,True,-1.4512659842266982,True,-1.185628006070146,True
stingy,5,True,-3.035123510199471,True,-3.074091608392708,True,-2.354601438454757,True,-1.8355898386898877,True,-1.677417277989678,True
stingy,6,False,-0.04465177871496684,True,-2.5771100068036774,True,-2.7221430372380926,True,-2.1799837940064153,True,-1.5232017494130332,True
stingy,7,False,-1.3807235176546346,True,-2.1856724464916146,True,-2.171233092169761,True,-1.9735527783697777,True,-1.3685740635516208,True
stingy,8,True,-2.9323619109875128,True,-3.3951979396552714,True,-3.519891611126431,True,-2.767251228591307,True,-2.079601966373073,True
stingy,9,False,-1.3849870948234133,True,-2.682488662948208,True,-1.9804524981324978,True,-1.6732640996638883,True,-1.3407892705596058,True
stingy,10,True,-2.123146352417757,True,-2.6957710706570293,True,-2.419882106204527,True,-1.8602611716683335,True,-1.3541751805019728,True
stingy,11,False,-0.23926240041430724,False,-0.9063092604042273,False,-1.3021047548705453,False,-1.19549236684836,False,-1.0196241608253402,True
stingy,12,False,-0.4410832478797017,False,-1.184426708387574,False,-0.9143735141499444,False,-1.0719964721266266,False,-1.1685107559757266,False
stingy,13,True,-4.736788723738772,True,-3.3819650848571543,True,-2.497402176730362,True,-1.8642002066365964,True,-1.5378311376162694,True
stingy,14,True,-2.619218334297408,True,-3.367850693387857,True,-2.965314153966554,True,-2.0025107745983712,True,-1.5471908787547748,True
causal,0,False,-1.7251014072958786,True,-1.9723576336878614,True,-2.33190270659655,True,-1.7651089595822094,True,-1.2749015592551398,True
causal,1,False,-0.8488725902324569,True,-1.6919472050258404,True,-1.6368629584601393,False,-1.2069456555049647,False,-0.9227532825305891,True
causal,2,True,-2.166931340778713,True,-2.598985694761062,True,-2.0100572333411164,True,-1.3195340512269569,True,-0.9528772240599801,True
causal,3,True,-3.814217534799377,True,-3.2318432906192935,True,-3.1893141910246743,True,-2.584508035113193,True,-2.196643583487936,True
causal,4,False,-1.6012451182971112,False,-1.340650007465064,True,-2.260817900086829,True,-1.7943961337222243,True,-1.4631092144629365,True
causal,5,True,-2.2890944506014193,True,-2.5405094492880114,True,-2.0811305184694864,True,-1.558245585074229,True,-1.458069526853464,True
causal,6,False,0.4811438734122531,True,-2.1416741296428503,True,-2.594895316767142,True,-2.064101015427974,True,-1.4311861034448525,True
causal,7,False,-1.011965948040499,True,-1.9538108595830666,True,-2.140372131290119,True,-1.9230815317989518,True,-1.3262895236042678,True
causal,8,True,-2.5107991125507314,True,-3.2125209755178386,True,-3.679512653738421,True,-2.87966258311985,True,-2.1828178138640206,True
causal,9,False,-1.564709515435649,True,-3.1110384539054285,True,-2.723245396838971,True,-2.2410968256775,True,-1.8107517878362613,True
causal,10,False,-1.6686913720839822,True,-2.4866475155842647,True,-2.458262012092431,True,-1.8812906489955554,True,-1.3849479145411263,True
causal,11,False,-0.11775322572811671,False,-1.0200564203670333,True,-1.552091934241434,True,-1.3922323292268353,True,-1.2105212470373223,True
causal,12,False,-0.1395874091023791,False,-0.9854587032479996,False,-0.9526587284564888,False,-1.1125189055030906,False,-1.2031110596691719,False
causal,13,True,-4.449734446507352,True,-3.2675371776657154,True,-2.6075902154837287,True,-1.9409620851304512,True,-1.6119998863980425,True
causal,14,True,-2.1912598007273902,True,-3.0505520296246216,True,-3.03809654351314,True,-2.055937159190903,True,-1.582851076585626,True
high_rich,0,False,-0.2087623600857096,False,-0.3118760010177221,False,-0.35588598024464185,False,-0.1888783343319262,False,0.03335539433895836,False
high_rich,1,False,0.9395515357956952,False,0.1644670911432033,False,0.3164827860965761,False,0.38674052989075636,False,0.4352764407698424,False
high_rich,2,False,-0.9213051365468075,False,-1.3302351141529556,False,-0.630775061867386,False,-0.1851133957563808,False,-0.0018154658505680431,False
high_rich,3,True,-2.5812237478060953,True,-1.5617050351289263,False,-1.2716690872151288,False,-1.0044245116397241,False,-0.8477338535467972,True
high_rich,4,False,-0.13900760040608387,False,0.4605085658616299,False,-0.28335716163029584,False,-0.2150601239369181,False,-0.14759628980706657,False
high_rich,5,False,-1.3577004794049885,False,-1.310122331901102,False,-0.6694061226446211,False,-0.4646742651991581,False,-0.5100294724353275,False
high_rich,6,False,1.9570226474228842,True,-0.5713724547601554,True,-0.8003342087926288,True,-0.6314121247905895,True,-0.22996717015893992,True
high_rich,7,False,-0.02432434934565035,False,-0.7287122191860396,False,-0.7260129342409173,False,-0.7780605967117248,False,-0.35608381643954945,False
high_rich,8,False,-1.3193748036458246,True,-1.6910612807402425,True,-1.8323925316760585,True,-1.4173699809570637,True,-0.9696687001327918,True
high_rich,9,False,-0.14410786171855702,False,-1.1169850023750552,False,-0.4200729161159591,False,-0.46331297709299674,False,-0.33338042423096864,True
high_rich,10,False,-0.7519566197581523,False,-1.155097041224439,False,-0.9323624815292085,False,-0.6619800485915871,False,-0.35785282474809055,False
high_rich,11,False,0.9869559895502058,False,0.7110471665816824,False,0.21674271006268794,False,0.05388929808831304,False,0.01868461286772996,False
high_rich,12,False,0.9706767905198252,False,0.3803866020732268,False,0.6400219942076584,False,0.17516359556925892,False,-0.1247896375301576,False
high_rich,13,True,-3.017072229921661,True,-1.5658549374705364,True,-0.8400839306725026,True,-0.5377468920169441,False,-0.45550188979258877,True
high_rich,14,False,-1.1882262287973953,True,-1.6895020948401305,False,-1.1961007511958026,False,-0.6000271058466002,False,-0.36253721046494736,True
random_soft,0,False,-1.6807798339086162,True,-1.979297195054983,True,-2.1063839690850688,True,-1.6052817154599663,True,-1.1502974897629332,True
random_soft,1,False,-1.5105154045567903,True,-2.289015822218581,True,-1.9198297118271326,True,-1.4443839793119768,True,-1.1085835822004002,True
random_soft,2,False,-1.6082724288394754,True,-2.2149869329972973,True,-1.4779877208171985,True,-0.9240511885513788,True,-0.6192173749576793,True
random_soft,3,True,-3.937484697604575,True,-3.1551419395533533,True,-2.917176902355044,True,-2.289349974883461,True,-1.8597591436598058,True
random_soft,4,False,-0.8379767783634483,False,-0.5951053212086507,True,-1.3503713535458324,False,-1.0574073233360275,False,-0.8591652551017239,True
random_soft,5,False,-1.2504216613294898,True,-1.8562345146333108,True,-1.5581612792290833,False,-1.2822538158172707,False,-1.173824831048496,True
random_soft,6,True,3.4658660031981796,True,0.3674599354043764,True,-0.13680983737999308,True,-0.3905183512249094,True,0.02085803390105854,True
random_soft,7,False,-1.2899475582315494,True,-2.0776312639219894,True,-2.0879817407260557,True,-1.8926311642609608,True,-1.288627110241951,True
random_soft,8,False,-1.2999134124298957,True,-2.193719936899,True,-2.404609448303885,True,-1.9592716187454315,True,-1.4378371430690666,True
random_soft,9,False,-1.8326966658979231,True,-2.6551438963763423,True,-1.8448368782497566,True,-1.5786710766323173,True,-1.2494029718369952,True
random_soft,10,True,-2.006669642620861,True,-2.3811345894109737,True,-2.0712191572368064,True,-1.48881730639851,True,-1.02793250419464,True
random_soft,11,False,-1.00705286015092,False,-1.3095834700768472,True,-1.5794472380379236,False,-1.433657760769132,False,-1.2187015330662894,True
random_soft,12,False,0.755514281137014,False,-0.01598268669708175,False,-0.0019403453247570576,False,-0.25298271406913664,False,-0.4136913516716116,False
random_soft,13,True,-4.453794319421018,True,-3.5499467910105613,True,-2.455514609781694,True,-1.8143328173885305,True,-1.4947437488117212,True
random_soft,14,True,-2.7526247973619937,True,-3.855830389082862,True,-3.369701960180425,True,-2.3318156394709084,True,-1.8484484381728792,True
random,0,True,-2.3179136484063387,True,-2.57515550339809,True,-2.642850159441424,True,-1.988941114286254,True,-1.470094220165606,True
random,1,False,-0.7561756017141879,True,-1.8111573455633092,True,-1.6576225697430365,True,-1.221866382291091,False,-0.9037996985886704,True
random,2,False,-0.19448156645868847,True,-1.5928267976875046,True,-1.1369302452202719,True,-0.5181238492134885,True,-0.24499941267571906,True
random,3,True,-5.029122502826479,True,-4.015470360838959,True,-3.571644792998771,True,-2.9189907113625186,True,-2.462865625492422,True
random,4,True,-2.788332320704323,True,-2.2169280642506197,True,-2.6061284867245997,True,-2.143302244020735,True,-1.7297179867301697,True
random,5,False,-1.5060450236485612,False,-1.6280338020028595,False,-0.8789907773565816,False,-0.5957976213931822,False,-0.5575806004217283,False
random,6,False,0.9855103243121649,True,-1.925336208418077,True,-2.1962664201809656,True,-1.760444333670728,True,-1.1719171087439408,True
random,7,True,-2.481758381569009,True,-2.9857001845897058,True,-2.837902607449795,True,-2.5258734814219235,True,-1.8733461630518669,True
